CSIQ,FSLR,ENPH,DQ,JKS,SEDG,SPWR
54.450001,104.18,203.690002,77.410004,63.0,31.59,31.59
55.619999,106.040001,208.830002,75.669998,62.419998,35.080002,35.080002
51.27,96.580002,190.589996,72.0,57.990002,31.959999,31.959999
55.029999,100.239998,201.279999,82.830002,63.389999,36.849998,36.849998
57.220001,101.75,199.399994,83.559998,67.029999,37.369999,37.369999
64.150002,107.529999,212.089996,94.470001,68.349998,43.779999,43.779999
63.0,106.669998,212.070007,96.769997,68.5,47.209999,47.209999
60.57,104.940002,202.729996,96.139999,67.900002,47.330002,47.330002
60.459999,104.690002,187.339996,101.889999,69.839996,53.919998,53.919998
58.900002,102.809998,179.020004,103.879997,70.489998,52.34,52.34
57.48,105.099998,193.740005,97.339996,66.519997,52.889999,52.889999
54.75,99.150002,182.350006,88.059998,61.990002,54.009998,54.009998
55.849998,98.309998,186.339996,103.410004,63.689999,48.689999,48.689999
57.77,97.290001,192.630005,115.849998,65.139999,43.759998,43.759998
59.209999,98.940002,196.339996,119.699997,65.550003,44.790001,44.790001
58.169998,98.589996,195.630005,108.669998,62.43,40.130001,40.130001
57.880001,97.400002,193.199997,109.190002,63.650002,43.529999,43.529999
59.5,100.330002,197.869995,114.089996,64.910004,45.349998,45.349998
60.73,101.849998,200.100006,124.129997,64.120003,49.119999,49.119999
60.75,99.879997,202.070007,119.529999,62.849998,49.139999,49.139999
61.23,99.589996,199.080002,118.910004,64.989998,49.959999,49.959999
60.470001,100.75,206.509995,123.830002,65.349998,49.810001,49.810001
57.880001,98.709999,193.5,120.220001,63.869999,46.540001,46.540001
55.82,95.839996,189.339996,112.510002,61.029999,43.610001,43.610001
52.009998,91.379997,180.839996,107.269997,57.560001,36.330002,36.330002
52.779999,90.959999,189.740005,104.800003,58.139999,37.759998,37.759998
48.040001,86.610001,167.860001,95.25,52.299999,33.529999,33.529999
46.349998,86.970001,170.889999,92.75,50.41,35.389999,35.389999
48.759998,88.029999,180.869995,105.400002,53.970001,37.75,37.75
45.619999,81.400002,167.369995,97.900002,49.939999,34.59,34.59
46.93,81.019997,176.059998,104.25,51.34,34.77,34.77
49.59,84.889999,186.449997,117.459999,53.41,38.189999,38.189999
47.939999,83.190002,171.690002,109.900002,51.040001,35.150002,35.150002
43.419998,78.879997,161.119995,94.510002,46.0,32.950001,32.950001
41.459999,75.360001,149.880005,86.139999,40.900002,31.27,31.27
40.580002,73.699997,143.550003,79.980003,42.450001,30.68,30.68
39.610001,71.449997,132.059998,72.040001,38.080002,29.09,29.09
43.93,76.669998,148.699997,87.980003,46.48,32.25,32.25
43.32,75.720001,152.429993,78.379997,44.52,32.299999,32.299999
46.950001,81.019997,165.339996,91.209999,50.119999,35.919998,35.919998
45.98,81.949997,164.710007,94.220001,49.380001,36.299999,36.299999
44.84,82.529999,174.160004,88.07,46.790001,36.950001,36.950001
42.52,82.459999,166.309998,85.730003,45.919998,34.0,34.0
41.400002,80.139999,163.820007,87.989998,44.669998,33.290001,33.290001
42.860001,77.610001,148.479996,81.209999,42.540001,30.67,30.67
45.43,79.970001,154.949997,79.230003,43.619999,31.860001,31.860001
48.799999,81.830002,161.110001,80.470001,45.080002,34.439999,34.439999
47.419998,80.519997,155.970001,74.440002,43.700001,32.150002,32.150002
44.990002,80.720001,147.979996,66.089996,39.389999,30.690001,30.690001
44.43,80.730003,148.479996,68.019997,41.290001,31.559999,31.559999
46.84,85.690002,152.070007,70.339996,43.959999,32.869999,32.869999
45.080002,81.610001,142.139999,62.16,38.810001,29.24,29.24
48.869999,86.529999,150.600006,70.580002,44.27,31.52,31.52
49.630001,87.300003,162.160004,75.5,41.689999,33.450001,33.450001
48.509998,86.150002,162.690002,75.190002,42.549999,33.240002,33.240002
46.419998,83.120003,149.419998,70.120003,40.25,32.5,32.5
47.75,84.209999,157.919998,71.25,41.939999,32.529999,32.529999
45.720001,81.0,150.009995,68.080002,39.73,29.540001,29.540001
44.82,81.190002,153.130005,66.220001,38.860001,29.379999,29.379999
43.369999,79.610001,151.350006,69.290001,38.650002,29.709999,29.709999
43.27,78.75,151.869995,67.220001,36.360001,28.200001,28.200001
43.540001,78.989998,153.089996,67.919998,36.169998,28.549999,28.549999
42.66,78.57,151.910004,66.300003,36.560001,28.41,28.41
42.709999,77.169998,145.789993,67.650002,35.810001,26.440001,26.440001
44.110001,80.139999,150.009995,70.260002,37.880001,27.370001,27.370001
42.59,80.209999,141.139999,66.940002,37.009998,26.540001,26.540001
42.91,79.360001,147.0,69.040001,36.970001,25.93,25.93
44.5,83.650002,155.080002,74.889999,38.209999,27.379999,27.379999
44.82,87.150002,160.880005,85.599998,39.650002,27.66,27.66
45.75,88.559998,166.970001,89.510002,39.23,29.01,29.01
46.259998,89.790001,172.649994,91.989998,39.950001,29.49,29.49
45.57,89.690002,171.100006,85.620003,39.66,29.0,29.0
44.009998,88.699997,146.910004,85.720001,38.759998,27.91,27.91
42.889999,87.290001,143.399994,83.580002,37.93,27.139999,27.139999
41.240002,76.529999,139.25,80.489998,36.959999,25.690001,25.690001
41.330002,75.769997,136.410004,79.540001,36.889999,24.860001,24.860001
39.200001,73.82,127.830002,74.510002,34.16,23.0,23.0
39.009998,74.389999,126.879997,77.199997,33.52,23.280001,23.280001
39.200001,73.629997,121.940002,73.589996,31.99,22.559999,22.559999
39.630001,74.620003,122.959999,74.699997,32.41,23.370001,23.370001
37.380001,72.190002,118.120003,72.150002,30.26,21.440001,21.440001
38.110001,71.889999,121.419998,75.459999,31.379999,22.26,22.26
35.549999,69.730003,117.169998,72.370003,30.51,21.25,21.25
35.25,69.57,114.610001,65.110001,30.709999,20.91,20.91
36.619999,72.580002,119.779999,71.730003,31.469999,22.24,22.24
36.099998,71.550003,118.419998,71.239998,30.440001,21.950001,21.950001
36.209999,72.389999,122.510002,71.230003,30.719999,22.200001,22.200001
36.959999,74.239998,130.669998,76.769997,31.709999,23.059999,23.059999
39.290001,76.639999,141.820007,78.410004,34.169998,23.82,23.82
39.049999,75.93,142.279999,77.959999,34.09,23.540001,23.540001
38.41,75.379997,140.869995,72.589996,33.27,23.440001,23.440001
38.18,74.800003,138.529999,71.980003,33.119999,22.67,22.67
41.0,77.529999,143.039993,78.629997,35.98,23.540001,23.540001
39.610001,76.93,142.309998,77.940002,35.34,23.76,23.76
39.580002,76.110001,143.050003,74.379997,36.610001,23.389999,23.389999
40.119999,76.879997,139.440002,78.949997,39.419998,23.190001,23.190001
39.77,76.959999,139.169998,76.400002,41.830002,24.26,24.26
38.240002,75.370003,134.130005,76.93,40.110001,22.549999,22.549999
38.830002,75.839996,134.699997,80.839996,41.209999,22.84,22.84
37.849998,75.010002,137.470001,74.489998,38.389999,23.200001,23.200001
39.169998,75.959999,139.149994,70.769997,39.110001,25.0,25.0
38.59,76.809998,136.970001,68.75,40.25,24.43,24.43
39.900002,80.400002,143.5,67.449997,41.209999,26.440001,26.440001
40.27,79.589996,147.130005,68.690002,46.209999,25.9,25.9
40.25,78.610001,147.649994,68.660004,45.299999,26.040001,26.040001
